Year,지역,Value
2006,0.전국,1.4
2007,0.전국,1.4
2008,0.전국,1.5
2009,0.전국,1.6
2010,0.전국,1.6
2011,0.전국,1.7
2012,0.전국,1.7
2013,0.전국,1.8
2014,0.전국,1.8
2015,0.전국,1.9
2016,0.전국,1.9
2017,0.전국,2.0
2018,0.전국,2.0
2019,0.전국,2.1
2020,0.전국,2.1
2006,1.수도권,1.5
2007,1.수도권,1.5
2008,1.수도권,1.6
2009,1.수도권,1.7
2010,1.수도권,1.7
2011,1.수도권,1.8
2012,1.수도권,1.8
2013,1.수도권,1.9
2014,1.수도권,2.0
2015,1.수도권,2.0
2016,1.수도권,2.0
2017,1.수도권,2.1
2018,1.수도권,2.1
2019,1.수도권,2.2
2020,1.수도권,2.3
2006,2.충청권,1.3
2007,2.충청권,1.4
2008,2.충청권,1.4
2009,2.충청권,1.5
2010,2.충청권,1.5
2011,2.충청권,1.5
2012,2.충청권,1.6
2013,2.충청권,1.6
2014,2.충청권,1.6
2015,2.충청권,1.7
2016,2.충청권,1.7
2017,2.충청권,1.7
2018,2.충청권,1.7
2019,2.충청권,1.8
2020,2.충청권,1.8
2006,3.호남권,1.4
2007,3.호남권,1.5
2008,3.호남권,1.5
2009,3.호남권,1.6
2010,3.호남권,1.6
2011,3.호남권,1.7
2012,3.호남권,1.7
2013,3.호남권,1.8
2014,3.호남권,1.8
2015,3.호남권,1.9
2016,3.호남권,1.9
2017,3.호남권,2.0
2018,3.호남권,2.0
2019,3.호남권,2.0
2020,3.호남권,2.1
2006,4.대경권,1.3
2007,4.대경권,1.4
2008,4.대경권,1.4
2009,4.대경권,1.5
2010,4.대경권,1.5
2011,4.대경권,1.6
2012,4.대경권,1.6
2013,4.대경권,1.6
2014,4.대경권,1.7
2015,4.대경권,1.7
2016,4.대경권,1.7
2017,4.대경권,1.8
2018,4.대경권,1.8
2019,4.대경권,1.9
2020,4.대경권,1.9
2006,5.동남권,1.3
2007,5.동남권,1.4
2008,5.동남권,1.4
2009,5.동남권,1.5
2010,5.동남권,1.5
2011,5.동남권,1.6
2012,5.동남권,1.6
2013,5.동남권,1.7
2014,5.동남권,1.7
2015,5.동남권,1.8
2016,5.동남권,1.8
2017,5.동남권,1.9
2018,5.동남권,1.9
2019,5.동남권,1.9
2020,5.동남권,2.0
2006,6.강원권,1.3
2007,6.강원권,1.4
2008,6.강원권,1.4
2009,6.강원권,1.5
2010,6.강원권,1.5
2011,6.강원권,1.5
2012,6.강원권,1.5
2013,6.강원권,1.6
2014,6.강원권,1.6
2015,6.강원권,1.6
2016,6.강원권,1.7
2017,6.강원권,1.7
2018,6.강원권,1.7
2019,6.강원권,1.8
2020,6.강원권,1.8
2006,7.제주권,1.1
2007,7.제주권,1.1
2008,7.제주권,1.3
2009,7.제주권,1.3
2010,7.제주권,1.4
2011,7.제주권,1.5
2012,7.제주권,1.5
2013,7.제주권,1.6
2014,7.제주권,1.6
2015,7.제주권,1.7
2016,7.제주권,1.7
2017,7.제주권,1.7
2018,7.제주권,1.7
2019,7.제주권,1.8
2020,7.제주권,1.8
