Year,시도,Value
2005,0.전국,11.4
2006,0.전국,11.7
2007,0.전국,11.4
2008,0.전국,10.8
2009,0.전국,10.6
2010,0.전국,10.3
2011,0.전국,10.1
2012,0.전국,9.8
2013,0.전국,10.0
2014,0.전국,10.5
2015,0.전국,11.4
2016,0.전국,12.7
2017,0.전국,13.9
2018,0.전국,15.5
2019,0.전국,18.2
2020,0.전국,21.2
2021,0.전국,24.0
2022,0.전국,27.0
2005,1.수도권,8.3
2006,1.수도권,8.8
2007,1.수도권,8.5
2008,1.수도권,8.2
2009,1.수도권,8.2
2010,1.수도권,8.2
2011,1.수도권,8.3
2012,1.수도권,8.1
2013,1.수도권,8.4
2014,1.수도권,9.1
2015,1.수도권,10.1
2016,1.수도권,11.9
2017,1.수도권,13.6
2018,1.수도권,15.6
2019,1.수도권,18.4
2020,1.수도권,21.1
2021,1.수도권,23.8
2022,1.수도권,26.6
2005,2.서울특별시,12.7
2006,2.서울특별시,13.4
2007,2.서울특별시,13.6
2008,2.서울특별시,13.2
2009,2.서울특별시,13.5
2010,2.서울특별시,13.5
2011,2.서울특별시,13.5
2012,2.서울특별시,13.5
2013,2.서울특별시,14.2
2014,2.서울특별시,15.6
2015,2.서울특별시,17.4
2016,2.서울특별시,20.9
2017,2.서울특별시,24.9
2018,2.서울특별시,29.4
2019,2.서울특별시,34.3
2020,2.서울특별시,38.4
2021,2.서울특별시,42.2
2022,2.서울특별시,45.7
2005,3.인천광역시,5.8
2006,3.인천광역시,7.0
2007,3.인천광역시,7.1
2008,3.인천광역시,6.7
2009,3.인천광역시,6.7
2010,3.인천광역시,7.2
2011,3.인천광역시,7.2
2012,3.인천광역시,6.9
2013,3.인천광역시,7.9
2014,3.인천광역시,8.2
2015,3.인천광역시,8.9
2016,3.인천광역시,9.7
2017,3.인천광역시,10.6
2018,3.인천광역시,11.8
2019,3.인천광역시,14.4
2020,3.인천광역시,16.3
2021,3.인천광역시,19.0
2022,3.인천광역시,22.5
2005,4.경기도,5.7
2006,4.경기도,5.9
2007,4.경기도,5.6
2008,4.경기도,5.6
2009,4.경기도,5.6
2010,4.경기도,5.6
2011,4.경기도,5.7
2012,4.경기도,5.6
2013,4.경기도,5.6
2014,4.경기도,6.0
2015,4.경기도,6.6
2016,4.경기도,7.6
2017,4.경기도,8.2
2018,4.경기도,9.2
2019,4.경기도,11.1
2020,4.경기도,13.3
2021,4.경기도,15.5
2022,4.경기도,17.8
