Year,시도,Value
2014,0.전국,3.6
2016,0.전국,3.1
2018,0.전국,3.3
2019,0.전국,3.5
2020,0.전국,3.7
2021,0.전국,3.8
2022,0.전국,3.7
2014,1.수도권,3.1
2016,1.수도권,2.8
2018,1.수도권,2.8
2019,1.수도권,3.2
2020,1.수도권,3.3
2021,1.수도권,3.5
2022,1.수도권,3.3
2014,2.서울특별시,3.1
2016,2.서울특별시,2.7
2018,2.서울특별시,3.0
2019,2.서울특별시,3.4
2020,2.서울특별시,3.2
2021,2.서울특별시,3.5
2022,2.서울특별시,3.6
2014,3.인천광역시,3.2
2016,3.인천광역시,2.8
2018,3.인천광역시,2.9
2019,3.인천광역시,4.2
2020,3.인천광역시,4.5
2021,3.인천광역시,3.9
2022,3.인천광역시,3.4
2014,4.경기도,3.1
2016,4.경기도,2.8
2018,4.경기도,2.6
2019,4.경기도,2.8
2020,4.경기도,3.1
2021,4.경기도,3.4
2022,4.경기도,3.1
