Year,시도,Value
2011,0.전국,24.6
2013,0.전국,26.3
2015,0.전국,25.3
2017,0.전국,27.7
2019,0.전국,32.3
2021,0.전국,35.0
2011,1.수도권,25.8
2013,1.수도권,26.4
2015,1.수도권,25.4
2017,1.수도권,28.5
2019,1.수도권,32.5
2021,1.수도권,34.6
2011,2.서울특별시,29.4
2013,2.서울특별시,27.6
2015,2.서울특별시,27.8
2017,2.서울특별시,30.5
2019,2.서울특별시,32.1
2021,2.서울특별시,34.3
2011,3.인천광역시,18.8
2013,3.인천광역시,26.5
2015,3.인천광역시,24.8
2017,3.인천광역시,27.3
2019,3.인천광역시,30.7
2021,3.인천광역시,33.4
2011,4.경기도,24.2
2013,4.경기도,25.4
2015,4.경기도,23.6
2017,4.경기도,27.3
2019,4.경기도,33.2
2021,4.경기도,35.2
