Indicator,Disaggregation combinations using this value
#10-1-3,1
#10-1-4,1
#5-3-2,1
#5-4-1,1
#5-4-2,1
#5-4-3,1
#5-4-6,1
#9-1-2,1
#9-1-3,1
#9-1-4,1
