Indicator,Disaggregation combinations using this value
#5-1-1,1
#5-1-2,1
#5-1-3,1
#5-2-2,1
#5-2-3,1
#5-2-5,1
#5-2-6,1
#5-3-2,1
#5-4-1,1
#5-4-2,1
#5-4-3,1
#5-4-5,1
#5-4-6,1
#5-4-7,1
#7-1-2,1
#9-1-1,1
#9-1-2,1
#9-1-3,1
#9-1-4,1
#9-1-5,1
#9-1-6,1
#9-1-7,1
#9-2-2,1
