Indicator,Disaggregation combinations using this value
#5-1-1,2
#5-1-2,2
#5-1-3,2
#5-2-2,2
#5-2-3,2
#5-2-5,2
#5-2-6,2
#5-3-2,2
#5-4-1,2
#5-4-2,2
#5-4-3,2
#5-4-5,2
#5-4-6,2
#5-4-7,2
#7-1-2,2
#9-1-1,2
#9-1-2,2
#9-1-3,2
#9-1-4,2
#9-1-5,2
#9-1-6,2
#9-1-7,2
#9-2-2,2
