Value,Disaggregation combinations using this value,Number of indicators
0.전국,3,3
1.수도권,3,3
2.충청권,3,3
3.호남권,3,3
4.대경권,3,3
5.동남권,3,3
6.강원권,3,3
7.제주권,3,3
경기,10,10
뉴욕,11,11
도쿄,11,11
독일,6,6
런던,10,10
런던(*영국),1,1
미국,7,7
미국 ,1,1
베를린,12,12
베를린(*독일),1,1
베이징,3,3
부산,1,1
상하이,3,3
서울,14,14
수도권,9,9
스웨덴,6,6
스톡홀롬,13,13
스톡홀롬(*스웨덴),1,1
시드니,5,5
영국,6,6
오사카,10,10
인천,11,11
일본,10,10
일본(*),1,1
중국,1,1
캐나다(*),3,3
캐나다,11,11
토론토,5,5
파리,8,8
파리(*프랑스),1,1
프랑스,6,6
프랑스 ,1,1
한국,8,8
호주(*),2,2
호주,10,10
