Year,지역,Value
2008,한국,90532
2009,한국,94672
2010,한국,98293
2011,한국,101370
2012,한국,104114
2013,한국,108909
2014,한국,111694
2015,한국,114322
2016,한국,117450
2017,한국,120630
2018,한국,123230
2019,한국,127258
2002,일본,251889
2004,일본,259336
2006,일본,266431
2008,일본,274992
2010,일본,283548
2012,일본,292039
2014,일본,300075
2016,일본,308105
2018,일본,315406
2001,미국,668939
2002,미국,674824
2003,미국,691873
2004,미국,700287
2005,미국,718473
2006,미국,723118
2007,미국,732234
2008,미국,740867
2009,미국,749566
2010,미국,752572
2011,미국,767782
2012,미국,784633
2013,미국,809845
2014,미국,820251
2015,미국,827261
2016,미국,835987
2017,미국,849126
2018,미국,851641
2019,미국,866316
2001,캐나다,65235
2002,캐나다,66289
2003,캐나다,66583
2004,캐나다,68171
2005,캐나다,69619
2006,캐나다,70870
2007,캐나다,72903
2008,캐나다,75155
2009,캐나다,78623
2010,캐나다,80895
2011,캐나다,84313
2012,캐나다,87306
2013,캐나다,90205
2014,캐나다,92708
2015,캐나다,95206
2016,캐나다,97169
2017,캐나다,99811
2018,캐나다,102909
2019,캐나다,104589
2020,캐나다,106171
2001,호주,49392
2002,호주,49895
2003,호주,51819
2004,호주,53966
2005,호주,56084
2006,호주,58167
2007,호주,62652
2008,호주,64117
2009,호주,67613
2012,호주,75258
2013,호주,77974
2014,호주,80968
2015,호주,83490
2016,호주,86550
2017,호주,90417
2018,호주,93604
2019,호주,97039
2001,프랑스,201140
2002,프랑스,203962
2003,프랑스,206289
2004,프랑스,208769
2005,프랑스,210312
2006,프랑스,211324
2007,프랑스,211521
2008,프랑스,212478
2009,프랑스,210723
2010,프랑스,212132
2011,프랑스,199094
2012,프랑스,201094
2013,프랑스,203249
2014,프랑스,205041
2015,프랑스,206710
2016,프랑스,208266
2017,프랑스,210038
2018,프랑스,210567
2019,프랑스,213201
2001,독일,271157
2002,독일,273961
2003,독일,276643
2004,독일,278444
2005,독일,280012
2006,독일,283102
2007,독일,286803
2008,독일,290723
2009,독일,296400
2010,독일,303645
2011,독일,311223
2012,독일,317390
2013,독일,325407
2014,독일,332695
2015,독일,338129
2016,독일,344755
2017,독일,351195
2018,독일,357401
2019,독일,365100
2001,영국,118648
2002,영국,123560
2003,영국,129426
2004,영국,138096
2005,영국,143677
2006,영국,147867
2007,영국,151026
2008,영국,156947
2009,영국,163418
2010,영국,165060
2011,영국,168751
2012,영국,170580
2013,영국,172792
2014,영국,176135
2015,영국,179162
2016,영국,181249
2017,영국,184384
2018,영국,188783
2019,영국,195669
2020,영국,203529
2001,스웨덴,27779
2002,스웨덴,28679
2003,스웨덴,29419
2004,스웨덴,30340
2005,스웨덴,31199
2006,스웨덴,32180
2007,스웨덴,33178
2008,스웨덴,33950
2009,스웨덴,34874
2010,스웨덴,35714
2011,스웨덴,36751
2012,스웨덴,37776
2013,스웨덴,38823
2014,스웨덴,39849
2015,스웨덴,40914
2016,스웨덴,42007
2017,스웨덴,42926
2018,스웨덴,43930
