Year,지역,Value
2001,0.전국,2.75
2002,0.전국,2.73
2003,0.전국,2.82
2004,0.전국,2.87
2005,0.전국,2.81
2006,0.전국,2.9
2007,0.전국,3.1
2008,0.전국,3.19
2009,0.전국,3.38
2010,0.전국,3.57
2011,0.전국,3.75
2012,0.전국,3.95
2013,0.전국,4.09
2014,0.전국,4.18
2015,0.전국,4.14
2016,0.전국,4.18
2017,0.전국,4.34
2018,0.전국,4.5
2019,0.전국,4.52
2020,0.전국,4.7
2021,0.전국,4.7
2001,1.수도권,2.32
2002,1.수도권,2.31
2003,1.수도권,2.22
2004,1.수도권,2.25
2005,1.수도권,2.21
2006,1.수도권,2.28
2007,1.수도권,2.49
2008,1.수도권,2.36
2009,1.수도권,2.58
2010,1.수도권,2.66
2011,1.수도권,2.71
2012,1.수도권,2.89
2013,1.수도권,3.01
2014,1.수도권,3.06
2015,1.수도권,3.12
2016,1.수도권,3.16
2017,1.수도권,3.3
2018,1.수도권,3.38
2019,1.수도권,3.35
2020,1.수도권,3.52
2021,1.수도권,3.51
2001,2.충청권,4.45
2002,2.충청권,4.59
2003,2.충청권,4.89
2004,2.충청권,4.88
2005,2.충청권,4.63
2006,2.충청권,4.68
2007,2.충청권,4.81
2008,2.충청권,5.13
2009,2.충청권,5.69
2010,2.충청권,5.9
2011,2.충청권,6.15
2012,2.충청권,6.38
2013,2.충청권,6.31
2014,2.충청권,6.64
2015,2.충청권,6.66
2016,2.충청권,6.88
2017,2.충청권,7.17
2018,2.충청권,7.41
2019,2.충청권,7.48
2020,2.충청권,7.91
2021,2.충청권,7.69
2001,3.호남권,2.38
2002,3.호남권,2.25
2003,3.호남권,2.7
2004,3.호남권,2.75
2005,3.호남권,2.78
2006,3.호남권,2.89
2007,3.호남권,3.2
2008,3.호남권,3.53
2009,3.호남권,3.57
2010,3.호남권,3.88
2011,3.호남권,4.21
2012,3.호남권,4.52
2013,3.호남권,4.8
2014,3.호남권,4.8
2015,3.호남권,4.6
2016,3.호남권,4.6
2017,3.호남권,4.88
2018,3.호남권,5.3
2019,3.호남권,5.22
2020,3.호남권,5.38
2021,3.호남권,5.68
2001,4.대경권,3.5
2002,4.대경권,3.38
2003,4.대경권,3.56
2004,4.대경권,3.56
2005,4.대경권,3.47
2006,4.대경권,3.56
2007,4.대경권,3.6
2008,4.대경권,3.75
2009,4.대경권,3.98
2010,4.대경권,4.29
2011,4.대경권,4.44
2012,4.대경권,4.55
2013,4.대경권,4.77
2014,4.대경권,4.92
2015,4.대경권,4.75
2016,4.대경권,4.85
2017,4.대경권,5.0
2018,4.대경권,5.12
2019,4.대경권,5.09
2020,4.대경권,5.2
2021,4.대경권,5.26
2001,5.동남권,3.11
2002,5.동남권,3.08
2003,5.동남권,3.31
2004,5.동남권,3.4
2005,5.동남권,3.35
2006,5.동남권,3.54
2007,5.동남권,3.8
2008,5.동남권,4.23
2009,5.동남권,4.23
2010,5.동남권,4.51
2011,5.동남권,4.95
2012,5.동남권,5.29
2013,5.동남권,5.4
2014,5.동남권,5.48
2015,5.동남권,5.33
2016,5.동남권,5.28
2017,5.동남권,5.39
2018,5.동남권,5.81
2019,5.동남권,6.07
2020,5.동남권,6.2
2021,5.동남권,6.26
2001,6.강원권,1.46
2002,6.강원권,1.39
2003,6.강원권,1.26
2004,6.강원권,1.35
2005,6.강원권,1.36
2006,6.강원권,1.32
2007,6.강원권,1.46
2008,6.강원권,1.45
2009,6.강원권,1.59
2010,6.강원권,1.59
2011,6.강원권,1.69
2012,6.강원권,1.8
2013,6.강원권,1.81
2014,6.강원권,1.91
2015,6.강원권,1.95
2016,6.강원권,1.93
2017,6.강원권,2.03
2018,6.강원권,2.12
2019,6.강원권,2.1
2020,6.강원권,2.24
2021,6.강원권,2.26
2001,7.제주권,1.0
2002,7.제주권,0.91
2003,7.제주권,0.9
2004,7.제주권,0.88
2005,7.제주권,0.79
2006,7.제주권,0.75
2007,7.제주권,0.86
2008,7.제주권,0.88
2009,7.제주권,1.08
2010,7.제주권,1.06
2011,7.제주권,1.16
2012,7.제주권,1.22
2013,7.제주권,1.29
2014,7.제주권,1.44
2015,7.제주권,1.33
2016,7.제주권,1.42
2017,7.제주권,1.41
2018,7.제주권,1.41
2019,7.제주권,1.44
2020,7.제주권,1.78
2021,7.제주권,1.68
