Year,시도,Value
2010,0.전국,200958
2011,0.전국,284923
2012,0.전국,297964
2013,0.전국,298851
2014,0.전국,344887
2015,0.전국,525467
2016,0.전국,469058
2017,0.전국,311913
2018,0.전국,282964
2019,0.전국,314308
2020,0.전국,349029
2021,0.전국,336533
2022,0.전국,287624
2010,1.수도권,124752
2011,1.수도권,120415
2012,1.수도권,103602
2013,1.수도권,129470
2014,1.수도권,123733
2015,1.수도권,272187
2016,1.수도권,232942
2017,1.수도권,160436
2018,1.수도권,149147
2019,1.수도권,164435
2020,1.수도권,178174
2021,1.수도권,142133
2022,1.수도권,135933
2010,2.서울특별시,27407
2011,2.서울특별시,38390
2012,2.서울특별시,29686
2013,2.서울특별시,39645
2014,2.서울특별시,32715
2015,2.서울특별시,45978
2016,2.서울특별시,43237
2017,2.서울특별시,40678
2018,2.서울특별시,22176
2019,2.서울특별시,30250
2020,2.서울특별시,31802
2021,2.서울특별시,8567
2022,2.서울특별시,23564
2010,3.인천광역시,14795
2011,3.인천광역시,10620
2012,3.인천광역시,17582
2013,3.인천광역시,10976
2014,3.인천광역시,8075
2015,3.인천광역시,27272
2016,3.인천광역시,15891
2017,3.인천광역시,15905
2018,3.인천광역시,16677
2019,3.인천광역시,36339
2020,3.인천광역시,31069
2021,3.인천광역시,33568
2022,3.인천광역시,23243
2010,4.경기도,82550
2011,4.경기도,71405
2012,4.경기도,56334
2013,4.경기도,78849
2014,4.경기도,82943
2015,4.경기도,198937
2016,4.경기도,173814
2017,4.경기도,103853
2018,4.경기도,110294
2019,4.경기도,97846
2020,4.경기도,115303
2021,4.경기도,99998
2022,4.경기도,89126
