Year,시도,Value
2001,0.전국,9120
2002,0.전국,9820
2003,0.전국,10389
2004,0.전국,11063
2005,0.전국,11551
2006,0.전국,12058
2007,0.전국,12636
2008,0.전국,13425
2009,0.전국,13811
2010,0.전국,14558
2011,0.전국,15137
2012,0.전국,15711
2013,0.전국,16432
2014,0.전국,17006
2015,0.전국,18063
2016,0.전국,18520
2017,0.전국,19204
2018,0.전국,19910
2019,0.전국,20661
2020,0.전국,21205
2001,2.서울특별시,10511
2002,2.서울특별시,11463
2003,2.서울특별시,12285
2004,2.서울특별시,13044
2005,2.서울특별시,13525
2006,2.서울특별시,14008
2007,2.서울특별시,15023
2008,2.서울특별시,15783
2009,2.서울특별시,16080
2010,2.서울특별시,17277
2011,2.서울특별시,18252
2012,2.서울특별시,18795
2013,2.서울특별시,19525
2014,2.서울특별시,19832
2015,2.서울특별시,20857
2016,2.서울특별시,21295
2017,2.서울특별시,22237
2018,2.서울특별시,23323
2019,2.서울특별시,23978
2020,2.서울특별시,24061
2001,3.인천광역시,7997
2002,3.인천광역시,8700
2003,3.인천광역시,9280
2004,3.인천광역시,9937
2005,3.인천광역시,10344
2006,3.인천광역시,10769
2007,3.인천광역시,11151
2008,3.인천광역시,11843
2009,3.인천광역시,12334
2010,3.인천광역시,13214
2011,3.인천광역시,13600
2012,3.인천광역시,14181
2013,3.인천광역시,14829
2014,3.인천광역시,15507
2015,3.인천광역시,16598
2016,3.인천광역시,17222
2017,3.인천광역시,17884
2018,3.인천광역시,18659
2019,3.인천광역시,19582
2020,3.인천광역시,20132
2001,4.경기도,9422
2002,4.경기도,10122
2003,4.경기도,10608
2004,4.경기도,11299
2005,4.경기도,11622
2006,4.경기도,12196
2007,4.경기도,12740
2008,4.경기도,13581
2009,4.경기도,13760
2010,4.경기도,14455
2011,4.경기도,15041
2012,4.경기도,15647
2013,4.경기도,16399
2014,4.경기도,16969
2015,4.경기도,18069
2016,4.경기도,18611
2017,4.경기도,19375
2018,4.경기도,19907
2019,4.경기도,20746
2020,4.경기도,21145
