Year,지역,Value
2001,0.전국,10822
2002,0.전국,11266
2003,0.전국,11794
2004,0.전국,12482
2005,0.전국,13136
2006,0.전국,13826
2007,0.전국,14591
2008,0.전국,15220
2009,0.전국,15325
2010,0.전국,16026
2011,0.전국,16597
2012,0.전국,17172
2013,0.전국,16830
2014,0.전국,17095
2015,0.전국,18822
2016,0.전국,19149
2017,0.전국,19358
2018,0.전국,20309
2019,0.전국,20633
2020,0.전국,21895
2001,1.수도권,11575
2002,1.수도권,12115
2003,1.수도권,12712
2004,1.수도권,13435
2005,1.수도권,13989
2006,1.수도권,14691
2007,1.수도권,15624
2008,1.수도권,16225
2009,1.수도권,16168
2010,1.수도권,17044
2011,1.수도권,17754
2012,1.수도권,18314
2013,1.수도권,17896
2014,1.수도권,18034
2015,1.수도권,19797
2016,1.수도권,20156
2017,1.수도권,20463
2018,1.수도권,21477
2019,1.수도권,21791
2020,1.수도권,22829
2001,2.충청권,9957
2002,2.충청권,10270
2003,2.충청권,10795
2004,2.충청권,11423
2005,2.충청권,12087
2006,2.충청권,12815
2007,2.충청권,13421
2008,2.충청권,13963
2009,2.충청권,14377
2010,2.충청권,14985
2011,2.충청권,15204
2012,2.충청권,15809
2013,2.충청권,15666
2014,2.충청권,16209
2015,2.충청권,17994
2016,2.충청권,18212
2017,2.충청권,18433
2018,2.충청권,19290
2019,2.충청권,19591
2020,2.충청권,21046
2001,3.호남권,9806
2002,3.호남권,10009
2003,3.호남권,10596
2004,3.호남권,11267
2005,3.호남권,12096
2006,3.호남권,12753
2007,3.호남권,13413
2008,3.호남권,13930
2009,3.호남권,14244
2010,3.호남권,14593
2011,3.호남권,14916
2012,3.호남권,15475
2013,3.호남권,15213
2014,3.호남권,15651
2015,3.호남권,17231
2016,3.호남권,17595
2017,3.호남권,17739
2018,3.호남권,19044
2019,3.호남권,19505
2020,3.호남권,21088
2001,4.대경권,10224
2002,4.대경권,10585
2003,4.대경권,10836
2004,4.대경권,11493
2005,4.대경권,12307
2006,4.대경권,12839
2007,4.대경권,13216
2008,4.대경권,13849
2009,4.대경권,14149
2010,4.대경권,14743
2011,4.대경권,15125
2012,4.대경권,15754
2013,4.대경권,15549
2014,4.대경권,15962
2015,4.대경권,17583
2016,4.대경권,17940
2017,4.대경권,18012
2018,4.대경권,18730
2019,4.대경권,18936
2020,4.대경권,20489
2001,5.동남권,10646
2002,5.동남권,11086
2003,5.동남권,11547
2004,5.동남권,12182
2005,5.동남권,12885
2006,5.동남권,13609
2007,5.동남권,14328
2008,5.동남권,15117
2009,5.동남권,15183
2010,5.동남권,15752
2011,5.동남권,16450
2012,5.동남권,17027
2013,5.동남권,16640
2014,5.동남권,16869
2015,5.동남권,18577
2016,5.동남권,18807
2017,5.동남권,18814
2018,5.동남권,19487
2019,5.동남권,19843
2020,5.동남권,21160
2001,6.강원권,9315
2002,6.강원권,9741
2003,6.강원권,10171
2004,6.강원권,10818
2005,6.강원권,11413
2006,6.강원권,12074
2007,6.강원권,12543
2008,6.강원권,13244
2009,6.강원권,13682
2010,6.강원권,14140
2011,6.강원권,14390
2012,6.강원권,14987
2013,6.강원권,14743
2014,6.강원권,15232
2015,6.강원권,16996
2016,6.강원권,17370
2017,6.강원권,17624
2018,6.강원권,18820
2019,6.강원권,19147
2020,6.강원권,20868
2001,7.제주권,10357
2002,7.제주권,10686
2003,7.제주권,10988
2004,7.제주권,11375
2005,7.제주권,12000
2006,7.제주권,12755
2007,7.제주권,13330
2008,7.제주권,14070
2009,7.제주권,14213
2010,7.제주권,14597
2011,7.제주권,15227
2012,7.제주권,15720
2013,7.제주권,15189
2014,7.제주권,15410
2015,7.제주권,17386
2016,7.제주권,17957
2017,7.제주권,17958
2018,7.제주권,18826
2019,7.제주권,18789
2020,7.제주권,20570
