Year,시도,Value
2012,0.전국,56.1
2014,0.전국,55.2
2016,0.전국,56.5
2018,0.전국,56.6
2020,0.전국,58.8
2022,0.전국,64.5
2024,0.전국,63.5
2012,1.수도권,55.3
2014,1.수도권,54.7
2016,1.수도권,55.4
2018,1.수도권,55.3
2020,1.수도권,57.7
2022,1.수도권,64.7
2024,1.수도권,63.3
2012,2.서울특별시,54.2
2014,2.서울특별시,57.5
2016,2.서울특별시,54.6
2018,2.서울특별시,53.6
2020,2.서울특별시,56.3
2022,2.서울특별시,64.9
2024,2.서울특별시,63.2
2012,3.인천광역시,52.7
2014,3.인천광역시,56.6
2016,3.인천광역시,54.9
2018,3.인천광역시,55.9
2020,3.인천광역시,57.2
2022,3.인천광역시,62.2
2024,3.인천광역시,61.3
2012,4.경기도,56.8
2014,4.경기도,51.9
2016,4.경기도,56.2
2018,4.경기도,56.6
2020,4.경기도,58.9
2022,4.경기도,65.5
2024,4.경기도,63.8
