Year,지역,Value
2002,0.전국,6.97
2003,0.전국,3.66
2004,0.전국,4.58
2005,0.전국,4.59
2006,0.전국,5.43
2007,0.전국,5.78
2008,0.전국,2.71
2009,0.전국,0.99
2010,0.전국,7
2011,0.전국,3.63
2012,0.전국,2.34
2013,0.전국,3.11
2014,0.전국,3.14
2015,0.전국,2.79
2016,0.전국,3.14
2017,0.전국,3.41
2018,0.전국,3.08
2019,0.전국,2.41
2020,0.전국,-0.62
2021,0.전국,4.53
2022,0.전국,2.73
2002,1.수도권,7.88
2003,1.수도권,3.37
2004,1.수도권,3.53
2005,1.수도권,5.19
2006,1.수도권,6.16
2007,1.수도권,5.89
2008,1.수도권,3.13
2009,1.수도권,1.47
2010,1.수도권,6.72
2011,1.수도권,3.52
2012,1.수도권,2.94
2013,1.수도권,3.5
2014,1.수도권,3.18
2015,1.수도권,3.97
2016,1.수도권,4.11
2017,1.수도권,4.47
2018,1.수도권,4.44
2019,1.수도권,2.87
2020,1.수도권,0.89
2021,1.수도권,4.93
2022,1.수도권,3.3
2002,2.충청권,6.91
2003,2.충청권,7.19
2004,2.충청권,7.84
2005,2.충청권,5.13
2006,2.충청권,7.46
2007,2.충청권,5.4
2008,2.충청권,2.54
2009,2.충청권,3.39
2010,2.충청권,9.84
2011,2.충청권,6.06
2012,2.충청권,1.57
2013,2.충청권,3.99
2014,2.충청권,3.87
2015,2.충청권,3.26
2016,2.충청권,4.84
2017,2.충청권,6.11
2018,2.충청권,3.37
2019,2.충청권,2.75
2020,2.충청권,0.5
2021,2.충청권,5.23
2022,2.충청권,3.02
2002,3.호남권,5.07
2003,3.호남권,1.09
2004,3.호남권,4.19
2005,3.호남권,2.52
2006,3.호남권,4.09
2007,3.호남권,5.11
2008,3.호남권,2.04
2009,3.호남권,-0.45
2010,3.호남권,8.89
2011,3.호남권,0.86
2012,3.호남권,1.08
2013,3.호남권,3.08
2014,3.호남권,1.49
2015,3.호남권,1.07
2016,3.호남권,1.32
2017,3.호남권,2.28
2018,3.호남권,1.32
2019,3.호남권,2.3
2020,3.호남권,-0.24
2021,3.호남권,4.01
2022,3.호남권,0.28
2002,4.대경권,6.08
2003,4.대경권,6.12
2004,4.대경권,6.47
2005,4.대경권,5.05
2006,4.대경권,3.59
2007,4.대경권,6.84
2008,4.대경권,2.4
2009,4.대경권,-1.21
2010,4.대경권,7.08
2011,4.대경권,2.91
2012,4.대경권,1.74
2013,4.대경권,3.71
2014,4.대경권,5.68
2015,4.대경권,-0.83
2016,4.대경권,0.65
2017,4.대경권,0.45
2018,4.대경권,0.54
2019,4.대경권,1.21
2020,4.대경권,-2.31
2021,4.대경권,3.36
2022,4.대경권,1.18
2002,5.동남권,6.81
2003,5.동남권,2.18
2004,5.동남권,5.07
2005,5.동남권,4.25
2006,5.동남권,3.97
2007,5.동남권,5.67
2008,5.동남권,2.26
2009,5.동남권,-0.08
2010,5.동남권,5.44
2011,5.동남권,4.25
2012,5.동남권,2.03
2013,5.동남권,0.86
2014,5.동남권,1.45
2015,5.동남권,1.8
2016,5.동남권,0.89
2017,5.동남권,-0.33
2018,5.동남권,1.01
2019,5.동남권,1.17
2020,5.동남권,-5.72
2021,5.동남권,3.36
2022,5.동남권,2.97
2002,6.강원권,2.66
2003,6.강원권,5.42
2004,6.강원권,1.82
2005,6.강원권,1.05
2006,6.강원권,6.25
2007,6.강원권,4.13
2008,6.강원권,2.5
2009,6.강원권,0.9
2010,6.강원권,4.34
2011,6.강원권,2.38
2012,6.강원권,2
2013,6.강원권,3.22
2014,6.강원권,4.88
2015,6.강원권,1.97
2016,6.강원권,4.21
2017,6.강원권,5.1
2018,6.강원권,2.12
2019,6.강원권,3.7
2020,6.강원권,-1.78
2021,6.강원권,5.34
2022,6.강원권,1.3
2002,7.제주권,5.36
2003,7.제주권,2.76
2004,7.제주권,6.22
2005,7.제주권,-0.47
2006,7.제주권,2
2007,7.제주권,5.53
2008,7.제주권,1.02
2009,7.제주권,6.19
2010,7.제주권,1.82
2011,7.제주권,6.88
2012,7.제주권,6.32
2013,7.제주권,4.95
2014,7.제주권,6.93
2015,7.제주권,7.35
2016,7.제주권,7.01
2017,7.제주권,6.93
2018,7.제주권,0.94
2019,7.제주권,0.77
2020,7.제주권,-5.59
2021,7.제주권,3.13
2022,7.제주권,4.56
