Year,시도,Value
2012,0.전국,13.8
2014,0.전국,9.5
2016,0.전국,13.2
2018,0.전국,20.5
2020,0.전국,31.8
2022,0.전국,33.3
2012,1.수도권,13.6
2014,1.수도권,9.2
2016,1.수도권,13
2018,1.수도권,20.9
2020,1.수도권,32.6
2022,1.수도권,34
2012,2.서울특별시,14.6
2014,2.서울특별시,9.9
2016,2.서울특별시,14.2
2018,2.서울특별시,24.5
2020,2.서울특별시,31.9
2022,2.서울특별시,36.1
2012,3.인천광역시,10.2
2014,3.인천광역시,11.7
2016,3.인천광역시,11.3
2018,3.인천광역시,16.2
2020,3.인천광역시,32.7
2022,3.인천광역시,33.9
2012,4.경기도,13.5
2014,4.경기도,8.2
2016,4.경기도,12.5
2018,4.경기도,19
2020,4.경기도,33.1
2022,4.경기도,32.5
