Year,시도,Value
2011,0.전국,19.6
2013,0.전국,8.5
2015,0.전국,8.4
2017,0.전국,10.8
2019,0.전국,10.8
2021,0.전국,11.9
2011,1.수도권,20.2
2013,1.수도권,9.5
2015,1.수도권,8.8
2017,1.수도권,11.9
2019,1.수도권,12.1
2021,1.수도권,12.7
2011,2.서울특별시,19.6
2013,2.서울특별시,9.8
2015,2.서울특별시,9.9
2017,2.서울특별시,14.2
2019,2.서울특별시,12.1
2021,2.서울특별시,12.7
2011,3.인천광역시,20
2013,3.인천광역시,7.2
2015,3.인천광역시,7.6
2017,3.인천광역시,8
2019,3.인천광역시,11.2
2021,3.인천광역시,13
2011,4.경기도,20.7
2013,4.경기도,9.7
2015,4.경기도,8.1
2017,4.경기도,10.9
2019,4.경기도,12.3
2021,4.경기도,12.6
