Year,시도,Value
2011,0.전국,19.3
2013,0.전국,27.1
2015,0.전국,26
2017,0.전국,27.2
2019,0.전국,28.8
2021,0.전국,27
2011,1.수도권,20.6
2013,1.수도권,28.1
2015,1.수도권,27.4
2017,1.수도권,28.2
2019,1.수도권,29.7
2021,1.수도권,28.1
2011,2.서울특별시,22.3
2013,2.서울특별시,28
2015,2.서울특별시,28.9
2017,2.서울특별시,29.5
2019,2.서울특별시,29.3
2021,2.서울특별시,28.9
2011,3.인천광역시,18.4
2013,3.인천광역시,26.6
2015,3.인천광역시,23.2
2017,3.인천광역시,25.7
2019,3.인천광역시,31.3
2021,3.인천광역시,26.9
2011,4.경기도,19.7
2013,4.경기도,28.5
2015,4.경기도,27.3
2017,4.경기도,27.7
2019,4.경기도,29.7
2021,4.경기도,27.8
