Year,시도,Value
2009,0.전국,1.17
2010,0.전국,1.36
2011,0.전국,3.81
2012,0.전국,4.18
2013,0.전국,4.52
2014,0.전국,5.63
2015,0.전국,7.67
2016,0.전국,8.18
2017,0.전국,9.18
2018,0.전국,10.2
2019,0.전국,10.05
2020,0.전국,8.46
2009,1.수도권,0.69
2010,1.수도권,0.78
2011,1.수도권,0.97
2012,1.수도권,1.39
2013,1.수도권,1.6
2014,1.수도권,1.82
2015,1.수도권,1.82
2016,1.수도권,1.96
2017,1.수도권,1.87
2018,1.수도권,2.27
2019,1.수도권,2.6
2020,1.수도권,3.23
2009,2.서울특별시,0.05
2010,2.서울특별시,0.08
2011,2.서울특별시,0.39
2012,2.서울특별시,0.37
2013,2.서울특별시,0.51
2014,2.서울특별시,0.57
2015,2.서울특별시,0.96
2016,2.서울특별시,0.94
2017,2.서울특별시,1.29
2018,2.서울특별시,1.36
2019,2.서울특별시,1.32
2020,2.서울특별시,1.41
2009,3.인천광역시,1.91
2010,3.인천광역시,1.75
2011,3.인천광역시,2.22
2012,3.인천광역시,2.27
2013,3.인천광역시,2.36
2014,3.인천광역시,4.13
2015,3.인천광역시,3.73
2016,3.인천광역시,4.05
2017,3.인천광역시,2.61
2018,3.인천광역시,2.99
2019,3.인천광역시,4.51
2020,3.인천광역시,6.22
2009,4.경기도,0.74
2010,4.경기도,0.91
2011,4.경기도,0.96
2012,4.경기도,1.68
2013,4.경기도,1.92
2014,4.경기도,1.86
2015,4.경기도,1.77
2016,4.경기도,1.94
2017,4.경기도,1.95
2018,4.경기도,2.48
2019,4.경기도,2.72
2020,4.경기도,3.32
