Year,시도,Value
2010,0.전국,2405776
2011,0.전국,2487339
2012,0.전국,2619833
2013,0.전국,2736921
2014,0.전국,2838343
2015,0.전국,2926186
2016,0.전국,3030286
2017,0.전국,3125273
2018,0.전국,3259281
2019,0.전국,3405769
2020,0.전국,3447287
2021,0.전국,3581564
2022,0.전국,3717328
2010,1.수도권,2544552
2011,1.수도권,2643749
2012,1.수도권,2782277
2013,1.수도권,2895548
2014,1.수도권,2931423
2015,1.수도권,2994235
2016,1.수도권,3105761
2017,1.수도권,3212149
2018,1.수도권,3333215
2019,1.수도권,3475401
2020,1.수도권,3539066
2021,1.수도권,3688499
2022,1.수도권,3833982
2010,2.서울특별시,2774256
2011,2.서울특별시,2921496
2012,2.서울특별시,3007110
2013,2.서울특별시,3168798
2014,2.서울특별시,3199814
2015,2.서울특별시,3261561
2016,2.서울특별시,3364470
2017,2.서울특별시,3445867
2018,2.서울특별시,3563940
2019,2.서울특별시,3704202
2020,2.서울특별시,3745761
2021,2.서울특별시,3904436
2022,2.서울특별시,4082853
2010,3.인천광역시,2290194
2011,3.인천광역시,2410840
2012,3.인천광역시,2508165
2013,3.인천광역시,2609457
2014,3.인천광역시,2637047
2015,3.인천광역시,2723424
2016,3.인천광역시,2839944
2017,3.인천광역시,2913439
2018,3.인천광역시,3013149
2019,3.인천광역시,3121843
2020,3.인천광역시,3172498
2021,3.인천광역시,3309353
2022,3.인천광역시,3418862
2010,4.경기도,2413417
2011,4.경기도,2467899
2012,4.경기도,2654114
2013,4.경기도,2735767
2014,4.경기도,2784899
2015,4.경기도,2853670
2016,4.경기도,2970904
2017,4.경기도,3102230
2018,4.경기도,3236256
2019,4.경기도,3384598
2020,4.경기도,3467004
2021,4.경기도,3611344
2022,4.경기도,3751651
