Year,지역,Value
2010,수도권, 1.3 
2015,수도권, 1.4 
2005,서울, 1.1 
2010,서울, 1.2 
2015,서울, 1.5 
2005,인천, 1.2 
2010,인천, 1.4 
2015,인천, 1.4 
2005,경기, 1.3 
2010,경기, 1.4 
2015,경기, 1.4 
2003,일본, 1.7 
2008,일본, 1.9 
2013,일본, 2.0 
2005,뉴욕, 2.1 
2012,뉴욕, 2.2 
2016,뉴욕, 2.2 
2001,캐나다, 2.4 
2006,캐나다, 2.5 
2011,캐나다, 2.4 
2006,파리, 1.4 
2007,파리, 1.4 
2008,파리, 1.4 
2009,파리, 1.4 
2010,파리, 1.4 
2011,파리, 1.4 
2012,파리, 1.4 
2013,파리, 1.4 
2014,파리, 1.4 
2015,파리, 1.4 
2016,파리, 1.4 
2011,베를린, 1.9 
2012,베를린, 1.9 
2013,베를린, 1.8 
2014,베를린, 1.8 
2015,베를린, 1.8 
2016,베를린, 1.8 
2001,런던, 1.9 
2005,런던, 1.8 
2011,런던, 1.8 
2005,스톡홀롬, 1.7 
2008,스톡홀롬, 1.6 
2009,스톡홀롬, 1.6 
2010,스톡홀롬, 1.6 
2011,스톡홀롬, 1.5 
2012,스톡홀롬, 1.5 
2013,스톡홀롬, 1.6 
2014,스톡홀롬, 1.5 
2015,스톡홀롬, 1.5 
2016,스톡홀롬, 1.6 
2017,스톡홀롬, 1.5 
2018,스톡홀롬, 1.5 
2019,스톡홀롬, 1.6 
