Year,시도,Value
2002,0.전국,6.97
2003,0.전국,3.66
2004,0.전국,4.58
2005,0.전국,4.59
2006,0.전국,5.43
2007,0.전국,5.78
2008,0.전국,2.71
2009,0.전국,0.99
2010,0.전국,7.0
2011,0.전국,3.63
2012,0.전국,2.34
2013,0.전국,3.11
2014,0.전국,3.14
2015,0.전국,2.79
2016,0.전국,3.14
2017,0.전국,3.41
2018,0.전국,3.08
2019,0.전국,1.75
2020,0.전국,0.95
2021,0.전국,7.84
2022,0.전국,4.65
2023,0.전국,3.29
2002,1.수도권,7.88
2003,1.수도권,3.37
2004,1.수도권,3.53
2005,1.수도권,5.19
2006,1.수도권,6.16
2007,1.수도권,5.89
2008,1.수도권,3.13
2009,1.수도권,1.47
2010,1.수도권,6.72
2011,1.수도권,3.52
2012,1.수도권,2.94
2013,1.수도권,3.5
2014,1.수도권,3.18
2015,1.수도권,3.97
2016,1.수도권,4.11
2017,1.수도권,4.47
2018,1.수도권,4.44
2019,1.수도권,1.88
2020,1.수도권,2.36
2021,1.수도권,7.69
2022,1.수도권,4.58
2023,1.수도권,2.36
2002,2.서울특별시,6.92
2003,2.서울특별시,1.8
2004,2.서울특별시,1.19
2005,2.서울특별시,4.26
2006,2.서울특별시,4.17
2007,2.서울특별시,5.86
2008,2.서울특별시,2.46
2009,2.서울특별시,1.5
2010,2.서울특별시,3.53
2011,2.서울특별시,3.15
2012,2.서울특별시,1.4
2013,2.서울특별시,1.65
2014,2.서울특별시,1.51
2015,2.서울특별시,2.92
2016,2.서울특별시,3.46
2017,2.서울특별시,2.6
2018,2.서울특별시,4.07
2019,2.서울특별시,3.22
2020,2.서울특별시,1.49
2021,2.서울특별시,7.32
2022,2.서울특별시,4.14
2023,2.서울특별시,3.62
2002,3.인천광역시,10.2
2003,3.인천광역시,2.32
2004,3.인천광역시,5.43
2005,3.인천광역시,3.52
2006,3.인천광역시,4.57
2007,3.인천광역시,8.66
2008,3.인천광역시,-0.99
2009,3.인천광역시,-1.38
2010,3.인천광역시,9.74
2011,3.인천광역시,1.78
2012,3.인천광역시,3.68
2013,3.인천광역시,2.66
2014,3.인천광역시,4.82
2015,3.인천광역시,1.83
2016,3.인천광역시,2.93
2017,3.인천광역시,4.26
2018,3.인천광역시,2.51
2019,3.인천광역시,2.41
2020,3.인천광역시,0.03
2021,3.인천광역시,9.54
2022,3.인천광역시,8.49
2023,3.인천광역시,3.19
2002,4.경기도,8.56
2003,4.경기도,5.71
2004,4.경기도,6.1
2005,4.경기도,6.74
2006,4.경기도,8.95
2007,4.경기도,5.27
2008,4.경기도,4.96
2009,4.경기도,2.09
2010,4.경기도,9.82
2011,4.경기도,4.33
2012,4.경기도,4.49
2013,4.경기도,5.68
2014,4.경기도,4.54
2015,4.경기도,5.47
2016,4.경기도,4.97
2017,4.경기도,6.27
2018,4.경기도,5.16
2019,4.경기도,0.58
2020,4.경기도,3.61
2021,4.경기도,7.69
2022,4.경기도,4.25
2023,4.경기도,1.06
