Year,지역,Value
2001,서울,2.99
2002,서울,2.82
2003,서울,3.09
2004,서울,3.39
2005,서울,3.43
2006,서울,3.64
2007,서울,3.92
2008,서울,4.06
2009,서울,4.31
2010,서울,4.31
2011,서울,4.69
2012,서울,5.23
2013,서울,5.4
2014,서울,5.53
2015,서울,5.33
2016,서울,5.22
2017,서울,5.74
2009,베이징,5.5
2010,베이징,5.82
2011,베이징,5.76
2012,베이징,5.95
2013,베이징,5.98
2014,베이징,5.95
2015,베이징,6.01
2016,베이징,5.78
2017,베이징,5.64
2009,상하이,2.81
2010,상하이,2.81
2011,상하이,3.11
2012,상하이,3.37
2013,상하이,3.56
2014,상하이,3.66
2015,상하이,3.73
2016,상하이,3.72
2017,상하이,3.93
2001,일본,2.98
2002,일본,3.01
2003,일본,3.04
2004,일본,3.02
2005,일본,3.17
2006,일본,3.15
2007,일본,3.21
2008,일본,3.29
2009,일본,3.13
2010,일본,3.07
2011,일본,3.09
2012,일본,3.09
2013,일본,3.18
2014,일본,3.29
2015,일본,3.19
2016,일본,3.08
2001,미국 ,1.6
2002,미국 ,1.61
2003,미국 ,1.58
2004,미국 ,1.53
2005,미국 ,1.55
2006,미국 ,1.57
2007,미국 ,1.61
2008,미국 ,1.61
2009,미국 ,1.67
2010,미국 ,1.65
2011,미국 ,1.65
2012,미국 ,1.58
2013,미국 ,1.62
2014,미국 ,1.64
2015,미국 ,1.65
2016,미국 ,1.66
2017,미국 ,1.68
2018,미국 ,1.73
2001,캐나다,2.02
2002,캐나다,1.97
2003,캐나다,1.97
2004,캐나다,2.0
2005,캐나다,1.97
2006,캐나다,1.94
2007,캐나다,1.9
2008,캐나다,1.86
2009,캐나다,1.92
2010,캐나다,1.83
2011,캐나다,1.79
2012,캐나다,1.77
2013,캐나다,1.71
2014,캐나다,1.71
2015,캐나다,1.69
2016,캐나다,1.7
2017,캐나다,1.53
2002,호주,1.63
2004,호주,1.72
2006,호주,2.0
2008,호주,2.25
2010,호주,2.18
2011,호주,2.11
2012,호주,2.16
2013,호주,2.09
2014,호주,1.91
2015,호주,1.88
2003,베를린,3.67
2005,베를린,3.49
2007,베를린,3.03
2009,베를린,3.38
2011,베를린,3.34
2013,베를린,3.57
2015,베를린,3.53
2017,베를린,3.41
2005,런던,0.82
2006,런던,0.92
2007,런던,0.91
2008,런던,0.91
2009,런던,0.92
2010,런던,0.92
2011,런던,0.94
2012,런던,0.99
2013,런던,0.94
2014,런던,1.01
2015,런던,1.03
2016,런던,1.04
2017,런던,1.14
2018,런던,1.16
2003,스톡홀롬,4.0
2005,스톡홀롬,4.01
2007,스톡홀롬,3.78
2009,스톡홀롬,3.55
2011,스톡홀롬,3.47
2013,스톡홀롬,3.82
2015,스톡홀롬,3.74
2017,스톡홀롬,3.75
