Year,지역,Value
2005,수도권,5.4
2006,수도권,4.0
2007,수도권,5.1
2008,수도권,6.1
2009,수도권,5.2
2010,수도권,3.2
2011,수도권,3.5
2012,수도권,3.7
2013,수도권,4.3
2014,수도권,3.2
2015,수도권,3.4
2016,수도권,3.7
2017,수도권,3.8
2018,수도권,4.3
2019,수도권,4.6
2020,수도권,4.0
2021,수도권,2.2
2005,서울,3.9
2006,서울,2.7
2007,서울,3.8
2008,서울,5.9
2009,서울,5.2
2010,서울,3.2
2011,서울,2.5
2012,서울,2.4
2013,서울,2.7
2014,서울,1.7
2015,서울,1.3
2016,서울,1.8
2017,서울,2.4
2018,서울,2.4
2019,서울,3.1
2020,서울,3.5
2021,서울,2.6
2005,인천,6.9
2006,인천,3.7
2007,인천,5.4
2008,인천,6.0
2009,인천,3.6
2010,인천,1.7
2011,인천,2.3
2012,인천,3.8
2013,인천,4.0
2014,인천,2.0
2015,인천,4.1
2016,인천,4.9
2017,인천,5.0
2018,인천,3.4
2019,인천,1.9
2020,인천,1.5
2021,인천,0.2
2005,경기,6.9
2006,경기,5.9
2007,경기,6.8
2008,경기,6.4
2009,경기,5.5
2010,경기,3.5
2011,경기,5.0
2012,경기,5.2
2013,경기,6.4
2014,경기,5.2
2015,경기,5.5
2016,경기,5.5
2017,경기,5.0
2018,경기,6.4
2019,경기,6.6
2020,경기,5.0
2021,경기,2.3
2005,도쿄,2.5
2006,도쿄,3.3
2007,도쿄,4.7
2008,도쿄,3.6
2009,도쿄,2.5
2010,도쿄,-1.6
2011,도쿄,-1.3
2012,도쿄,0.2
2013,도쿄,2.3
2014,도쿄,2.1
2015,도쿄,0.3
2016,도쿄,0.4
2017,도쿄,-0.1
2018,도쿄,0.5
2019,도쿄,0.7
2005,오사카,0.4
2006,오사카,1.3
2007,오사카,1.9
2008,오사카,1.6
2009,오사카,0.2
2010,오사카,-2.0
2011,오사카,-1.4
2012,오사카,0.5
2013,오사카,1.8
2014,오사카,1.3
2015,오사카,0.2
2016,오사카,0.4
2017,오사카,-0.2
2018,오사카,0.8
2019,오사카,1.0
2005,캐나다(*),2.7
2006,캐나다(*),2.8
2007,캐나다(*),3.0
2008,캐나다(*),2.7
2009,캐나다(*),1.9
2010,캐나다(*),0.0
2011,캐나다(*),0.2
2012,캐나다(*),0.9
2013,캐나다(*),2.6
2014,캐나다(*),2.4
2015,캐나다(*),2.4
2016,캐나다(*),2.0
2017,캐나다(*),1.5
2018,캐나다(*),1.7
2019,캐나다(*),2.5
2020,캐나다(*),2.9
2021,캐나다(*),0.0
2005,호주(*),3.6
2006,호주(*),3.5
2007,호주(*),3.3
2008,호주(*),3.5
2009,호주(*),3.2
2010,호주(*),2.6
2011,호주(*),2.2
2012,호주(*),2.9
2013,호주(*),3.1
2014,호주(*),3.1
2015,호주(*),2.5
2016,호주(*),2.6
2017,호주(*),2.5
2018,호주(*),2.7
2019,호주(*),2.5
2020,호주(*),1.7
2021,호주(*),1.2
2005,파리,-0.8
2006,파리,0.3
2007,파리,0.7
2008,파리,1.9
2009,파리,0.8
2010,파리,-0.3
2011,파리,0.6
2012,파리,1.1
2013,파리,3.0
2014,파리,0.9
2015,파리,0.9
2016,파리,0.7
2017,파리,1.2
2018,파리,2.0
2019,파리,3.0
2020,파리,3.8
2021,파리,-0.5
2005,베를린,-1.6
2006,베를린,-0.5
2007,베를린,1.4
2008,베를린,2.6
2009,베를린,3.4
2010,베를린,1.6
2011,베를린,1.8
2012,베를린,1.8
2013,베를린,2.4
2014,베를린,1.6
2015,베를린,1.3
2016,베를린,2.5
2017,베를린,4.1
2018,베를린,4.6
2019,베를린,4.8
2020,베를린,4.0
2021,베를린,1.1
2005,스톡홀롬,3.5
2006,스톡홀롬,4.1
2007,스톡홀롬,4.7
2008,스톡홀롬,4.3
2009,스톡홀롬,2.8
2010,스톡홀롬,2.2
2011,스톡홀롬,1.2
2012,스톡홀롬,2.9
2013,스톡홀롬,2.5
2014,스톡홀롬,2.3
2015,스톡홀롬,2.2
2016,스톡홀롬,4.1
2017,스톡홀롬,3.9
2018,스톡홀롬,2.6
2019,스톡홀롬,1.6
2020,스톡홀롬,2.2
2021,스톡홀롬,1.6
