Year,지역,Value
2011,0.전국,4233
2012,0.전국,4479
2013,0.전국,4658
2014,0.전국,4770
2015,0.전국,4882
2016,0.전국,5478
2017,0.전국,5705
2018,0.전국,5828
2019,0.전국,5924
2020,0.전국,6125
2021,0.전국,6414
2011,1.수도권,4665
2012,1.수도권,4813
2013,1.수도권,4959
2014,1.수도권,5072
2015,1.수도권,5206
2016,1.수도권,5921
2017,1.수도권,6300
2018,1.수도권,6412
2019,1.수도권,6483
2020,1.수도권,6718
2021,1.수도권,7022
2011,2.충청권,3858
2012,2.충청권,4102
2013,2.충청권,4274
2014,2.충청권,4411
2015,2.충청권,4464
2016,2.충청권,4759
2017,2.충청권,5214
2018,2.충청권,5446
2019,2.충청권,5537
2020,2.충청권,5783
2021,2.충청권,6145
2011,3.호남권,3660
2012,3.호남권,4063
2013,3.호남권,4236
2014,3.호남권,4304
2015,3.호남권,4357
2016,3.호남권,4921
2017,3.호남권,4986
2018,3.호남권,5274
2019,3.호남권,5518
2020,3.호남권,5735
2021,3.호남권,5951
2011,4.대경권,3872
2012,4.대경권,4194
2013,4.대경권,4403
2014,4.대경권,4434
2015,4.대경권,4605
2016,4.대경권,5111
2017,4.대경권,5193
2018,4.대경권,5050
2019,4.대경권,5072
2020,4.대경권,5201
2021,4.대경권,5584
2011,5.동남권,4033
2012,5.동남권,4318
2013,5.동남권,4584
2014,5.동남권,4728
2015,5.동남권,4797
2016,5.동남권,5234
2017,5.동남권,5259
2018,5.동남권,5355
2019,5.동남권,5506
2020,5.동남권,5561
2021,5.동남권,5733
2011,6.강원권,3405
2012,6.강원권,3920
2013,6.강원권,4077
2014,6.강원권,4177
2015,6.강원권,4230
2016,6.강원권,4806
2017,6.강원권,4817
2018,6.강원권,5088
2019,6.강원권,4924
2020,6.강원권,5196
2021,6.강원권,5459
2011,7.제주권,3683
2012,7.제주권,3598
2013,7.제주권,3791
2014,7.제주권,4060
2015,7.제주권,4191
2016,7.제주권,5359
2017,7.제주권,5126
2018,7.제주권,5437
2019,7.제주권,5531
2020,7.제주권,5933
2021,7.제주권,6227
