Year,시도,Value
2012,0.전국,46.7
2014,0.전국,49.7
2016,0.전국,52.3
2018,0.전국,58.0
2020,0.전국,59.3
2022,0.전국,51.1
2012,1.수도권,47.3
2014,1.수도권,51.1
2016,1.수도권,52.9
2018,1.수도권,58.7
2020,1.수도권,59.7
2022,1.수도권,48.5
2012,2.서울특별시,49.0
2014,2.서울특별시,51.3
2016,2.서울특별시,53.6
2018,2.서울특별시,63.9
2020,2.서울특별시,66.4
2022,2.서울특별시,47.0
2012,3.인천광역시,42.4
2014,3.인천광역시,53.7
2016,3.인천광역시,50.8
2018,3.인천광역시,62.3
2020,3.인천광역시,61.0
2022,3.인천광역시,47.9
2012,4.경기도,46.2
2014,4.경기도,46.7
2016,4.경기도,52.8
2018,4.경기도,54.7
2020,4.경기도,56.1
2022,4.경기도,49.5
