Year,시도,Value
2013,0.전국,1.45
2014,0.전국,1.42
2015,0.전국,1.36
2016,0.전국,1.39
2017,0.전국,1.64
2018,0.전국,1.69
2019,0.전국,1.64
2020,0.전국,1.53
2021,0.전국,1.6
2013,1.수도권,1.57
2014,1.수도권,1.55
2015,1.수도권,1.55
2016,1.수도권,1.57
2017,1.수도권,1.85
2018,1.수도권,1.86
2019,1.수도권,1.83
2020,1.수도권,1.71
2021,1.수도권,1.7
2013,2.서울특별시,1.7
2014,2.서울특별시,1.76
2015,2.서울특별시,1.74
2016,2.서울특별시,1.95
2017,2.서울특별시,2.34
2018,2.서울특별시,2.26
2019,2.서울특별시,2.26
2020,2.서울특별시,2.12
2021,2.서울특별시,2.1
2013,3.인천광역시,1.61
2014,3.인천광역시,1.57
2015,3.인천광역시,1.55
2016,3.인천광역시,1.81
2017,3.인천광역시,2.06
2018,3.인천광역시,2.02
2019,3.인천광역시,1.94
2020,3.인천광역시,1.73
2021,3.인천광역시,1.9
2013,4.경기도,1.44
2014,4.경기도,1.35
2015,4.경기도,1.39
2016,4.경기도,1.24
2017,4.경기도,1.43
2018,4.경기도,1.5
2019,4.경기도,1.47
2020,4.경기도,1.4
2021,4.경기도,1.4
