Year,지역,Value
2001,0.전국,1.688261582
2002,0.전국,1.697222282
2003,0.전국,1.802057709
2004,0.전국,2.004731922
2005,0.전국,2.086899108
2006,0.전국,2.240797223
2007,0.전국,2.424872644
2008,0.전국,2.601965422
2009,0.전국,2.832677542
2010,0.전국,3.061024123
2011,0.전국,3.360464399
2012,0.전국,3.649572277
2013,0.전국,3.785244177
2014,0.전국,3.944491971
2015,0.전국,3.971437862
2016,0.전국,4.059412301
2017,0.전국,4.469211295
2018,0.전국,4.725751023
2019,0.전국,4.802013249
2001,1.수도권,2.184976195
2002,1.수도권,2.136634695
2003,1.수도권,2.411617364
2004,1.수도권,2.718851252
2005,1.수도권,2.752821142
2006,1.수도권,2.915923997
2007,1.수도권,3.195671133
2008,1.수도권,3.408066199
2009,1.수도권,3.689406405
2010,1.수도권,4.012460684
2011,1.수도권,4.403787464
2012,1.수도권,4.967239851
2013,1.수도권,5.174504669
2014,1.수도권,5.365480306
2015,1.수도권,5.331018872
2016,1.수도권,5.322890324
2017,1.수도권,6.009700561
2018,1.수도권,6.35407047
2019,1.수도권,6.45263182
2001,2.충청권,0.965247899
2002,2.충청권,2.964123541
2003,2.충청권,2.869466099
2004,2.충청권,3.053300028
2005,2.충청권,3.445946501
2006,2.충청권,3.411542276
2007,2.충청권,3.770223482
2008,2.충청권,4.247649627
2009,2.충청권,4.625433972
2010,2.충청권,5.024460337
2011,2.충청권,5.247189254
2012,2.충청권,4.986962024
2013,2.충청권,5.188762169
2014,2.충청권,5.243015328
2015,2.충청권,5.325976004
2016,2.충청권,6.077641684
2017,2.충청권,5.861835685
2018,2.충청권,5.624351947
2019,2.충청권,5.815542894
2001,3.호남권,1.139643327
2002,3.호남권,0.888800961
2003,3.호남권,0.598236719
2004,3.호남권,0.629675962
2005,3.호남권,0.673925268
2006,3.호남권,0.731827807
2007,3.호남권,0.887436177
2008,3.호남권,0.943171197
2009,3.호남권,1.098502735
2010,3.호남권,1.097675436
2011,3.호남권,1.332666608
2012,3.호남권,1.426949891
2013,3.호남권,1.439023581
2014,3.호남권,1.541344108
2015,3.호남권,1.400671411
2016,3.호남권,1.473657866
2017,3.호남권,1.529258247
2018,3.호남권,1.659651539
2019,3.호남권,1.632019016
2001,4.대경권,2.35411326
2002,4.대경권,1.014151818
2003,4.대경권,1.081463875
2004,4.대경권,1.157847682
2005,4.대경권,1.463971229
2006,4.대경권,1.585268319
2007,4.대경권,1.434252407
2008,4.대경권,1.49055436
2009,4.대경권,1.655949696
2010,4.대경권,1.77630529
2011,4.대경권,1.981958766
2012,4.대경권,2.087067423
2013,4.대경권,1.999404946
2014,4.대경권,2.34723384
2015,4.대경권,2.434456408
2016,4.대경권,2.293275246
2017,4.대경권,2.599283508
2018,4.대경권,2.766269899
2019,4.대경권,2.60171098
2001,5.동남권,3.938200552
2002,5.동남권,0.8447991
2003,5.동남권,0.82979712
2004,5.동남권,0.957313968
2005,5.동남권,0.840798918
2006,5.동남권,1.121692544
2007,5.동남권,1.140025823
2008,5.동남권,1.147041521
2009,5.동남권,1.162907804
2010,5.동남권,1.186113815
2011,5.동남권,1.339789957
2012,5.동남권,1.458234
2013,5.동남권,1.48972777
2014,5.동남권,1.546379852
2015,5.동남권,1.660634157
2016,5.동남권,1.599219113
2017,5.동남권,1.731086726
2018,5.동남권,2.078554017
2019,5.동남권,2.174188917
2001,6.강원권,1.016471913
2002,6.강원권,0.324591799
2003,6.강원권,0.398102579
2004,6.강원권,0.467217098
2005,6.강원권,0.526337979
2006,6.강원권,0.576530036
2007,6.강원권,0.621859181
2008,6.강원권,0.764967051
2009,6.강원권,0.815847646
2010,6.강원권,0.803044993
2011,6.강원권,0.93672572
2012,6.강원권,0.949190743
2013,6.강원권,0.932954269
2014,6.강원권,0.924447628
2015,6.강원권,1.013507272
2016,6.강원권,0.932520545
2017,6.강원권,1.028989911
2018,6.강원권,1.08089108
2019,6.강원권,1.12278235
2001,7.제주권,0.381784764
2002,7.제주권,0.252135934
2003,7.제주권,0.308215014
2004,7.제주권,0.335546808
2005,7.제주권,0.313381921
2006,7.제주권,0.462721068
2007,7.제주권,0.663422542
2008,7.제주권,0.701290138
2009,7.제주권,0.900584368
2010,7.제주권,0.903040727
2011,7.제주권,1.02327876
2012,7.제주권,0.859418656
2013,7.제주권,0.8893593
2014,7.제주권,1.019262735
2015,7.제주권,0.778912295
2016,7.제주권,0.849362803
2017,7.제주권,0.814848759
2018,7.제주권,0.838240644
2019,7.제주권,0.908987141
